CustomerID,CustomerCode,FirstName,LastName,FullName,Gender,DOB,Age,AgeGroup,Email,Phone,City,State,Region,Pincode,RegistrationDate,CustomerSegment,PreferredCategory,IsPrimeMember,IsActive
C000018,CUST000018,Jatin,Baral,Jatin Baral,Male,2007-08-18,18,18-24,jatin.baral213@gmail.com,8543534624,Dehradun,Uttarakhand,North,248001,2023-08-06,Premium,Home & Kitchen,False,True
C000019,CUST000019,Veer,Mutti,Veer Mutti,Male,1970-06-02,56,55+,veer.mutti623@gmail.com,1183842513,Delhi,Delhi,North,110001,2023-11-27,Regular,Books,False,True
C000020,CUST000020,Reva,Mane,Reva Mane,Female,1976-03-19,50,45-54,reva.mane324@gmail.com,8084124118,Agra,Uttar Pradesh,North,282001,2023-02-09,New,Home & Kitchen,False,True
C000021,CUST000021,Faras,Magar,Faras Magar,Male,1984-08-27,41,35-44,faras.magar80@gmail.com,8740164005,Hubballi,Karnataka,South,580020,2024-05-08,Premium,Electronics,True,True
C000022,CUST000022,Dhruv,Lala,Dhruv Lala,Male,1976-06-23,50,45-54,dhruv.lala443@gmail.com,0112805982,Hyderabad,Telangana,South,500001,2025-08-31,Premium,Fashion,True,True
C000023,CUST000023,Tanveer,Datta,Tanveer Datta,Male,1968-04-29,58,55+,tanveer.datta458@gmail.com,3315869232,Ludhiana,Punjab,North,141001,2024-02-16,Regular,Grocery,False,True
C000024,CUST000024,Hema,Sachar,Hema Sachar,Female,1967-03-03,59,55+,hema.sachar612@gmail.com,4216073375,Madurai,Tamil Nadu,South,625001,2024-05-22,New,Home & Kitchen,True,True
C000025,CUST000025,Michael,Kari,Michael Kari,Male,1980-08-25,45,45-54,michael.kari890@gmail.com,4145868501,Bengaluru,Karnataka,South,560001,2023-05-26,Regular,Electronics,True,True
C000026,CUST000026,Leena,Gokhale,Leena Gokhale,Female,2004-12-27,21,18-24,leena.gokhale750@gmail.com,6556981693,Belagavi,Karnataka,South,590001,2025-11-18,New,Sports,False,True
C000027,CUST000027,Lakshmi,Basu,Lakshmi Basu,Female,1995-02-26,31,25-34,lakshmi.basu372@gmail.com,5615951484,Nashik,Maharashtra,West,422001,2025-08-26,Regular,Fashion,True,True
C000028,CUST000028,Tara,Narain,Tara Narain,Female,1992-11-11,33,25-34,tara.narain110@gmail.com,6629946804,Chandigarh,Chandigarh,North,160017,2025-08-14,Premium,Electronics,False,False
C000029,CUST000029,Luke,Kade,Luke Kade,Male,1994-09-25,31,25-34,luke.kade469@gmail.com,3872148951,Gurugram,Haryana,North,122001,2024-11-25,Regular,Electronics,True,True
C000030,CUST000030,Jacob,Mukherjee,Jacob Mukherjee,Male,1980-10-07,45,45-54,jacob.mukherjee837@gmail.com,3791769367,Jaipur,Rajasthan,North,302001,2024-01-11,New,Fashion,False,True
C000031,CUST000031,Ryan,Kohli,Ryan Kohli,Male,1975-07-10,50,45-54,ryan.kohli180@gmail.com,2870831727,Hubballi,Karnataka,South,580020,2026-01-12,Regular,Electronics,False,True
C000032,CUST000032,Zilmil,Nadig,Zilmil Nadig,Female,1995-08-07,30,25-34,zilmil.nadig12@gmail.com,7743487347,Agra,Uttar Pradesh,North,282001,2025-09-12,New,Grocery,False,True
C000033,CUST000033,Brinda,Mangal,Brinda Mangal,Female,1981-06-09,45,45-54,brinda.mangal579@gmail.com,1223623166,Ahmedabad,Gujarat,West,380001,2025-07-20,New,Sports,False,False
C000034,CUST000034,Oni,Shukla,Oni Shukla,Female,1993-10-10,32,25-34,oni.shukla775@gmail.com,9096705466,Warangal,Telangana,South,506002,2024-01-24,New,Electronics,False,True
C000035,CUST000035,Januja,Sura,Januja Sura,Female,1980-05-30,46,45-54,januja.sura68@gmail.com,6562729806,Hubballi,Karnataka,South,580020,2023-04-13,Regular,Beauty,False,True
C000036,CUST000036,Agastya,Chacko,Agastya Chacko,Male,1994-08-25,31,25-34,agastya.chacko974@gmail.com,4653755646,Thiruvananthapuram,Kerala,South,695001,2023-05-21,Regular,Sports,False,True
C000037,CUST000037,Jonathan,Bumb,Jonathan Bumb,Male,1997-06-26,28,25-34,jonathan.bumb545@gmail.com,3100330923,Siliguri,West Bengal,East,734001,2026-05-02,New,Electronics,False,True
C000038,CUST000038,Edhitha,Solanki,Edhitha Solanki,Female,1973-04-07,53,45-54,edhitha.solanki697@gmail.com,2991241904,Ahmedabad,Gujarat,West,380001,2024-02-23,Regular,Home & Kitchen,True,True
C000039,CUST000039,Riya,Ranganathan,Riya Ranganathan,Female,1978-12-23,47,45-54,riya.ranganathan586@gmail.com,4919058651,Lucknow,Uttar Pradesh,North,226001,2024-10-09,Premium,Electronics,True,True
C000040,CUST000040,Zehaan,Om,Zehaan Om,Male,1966-05-05,60,55+,zehaan.om80@gmail.com,5726284987,Belagavi,Karnataka,South,590001,2026-01-06,New,Home & Kitchen,True,True
C000041,CUST000041,Viraj,Sarin,Viraj Sarin,Male,2005-10-19,20,18-24,viraj.sarin836@gmail.com,4737996507,Delhi,Delhi,North,110001,2024-08-06,New,Books,False,True
C000042,CUST000042,Nicholas,Gopal,Nicholas Gopal,Male,1998-08-29,27,25-34,nicholas.gopal280@gmail.com,4948083136,Bhubaneswar,Odisha,East,751001,2026-02-09,New,Sports,True,True
C000043,CUST000043,Yash,Khosla,Yash Khosla,Male,1997-11-17,28,25-34,yash.khosla218@gmail.com,4363495788,Coimbatore,Tamil Nadu,South,641001,2026-02-07,New,Home & Kitchen,False,True
C000044,CUST000044,Pooja,Sandal,Pooja Sandal,Female,2002-12-07,23,18-24,pooja.sandal859@gmail.com,4431351823,Dehradun,Uttarakhand,North,248001,2025-09-27,New,Books,True,True
C000045,CUST000045,Janaki,Sule,Janaki Sule,Female,1984-04-18,42,35-44,janaki.sule769@gmail.com,3524082400,Mangaluru,Karnataka,South,575001,2023-01-08,Regular,Fashion,False,True
C000046,CUST000046,Mugdha,Date,Mugdha Date,Female,1998-11-19,27,25-34,mugdha.date935@gmail.com,7775204711,Kolkata,West Bengal,East,700001,2025-05-25,Regular,Electronics,True,True
C000047,CUST000047,Sai,Swamy,Sai Swamy,Male,1970-07-10,55,55+,sai.swamy52@gmail.com,4131869993,Ludhiana,Punjab,North,141001,2023-03-15,Regular,Beauty,False,True
C000048,CUST000048,Yutika,Rai,Yutika Rai,Female,1996-02-20,30,25-34,yutika.rai372@gmail.com,4990913341,Delhi,Delhi,North,110001,2023-03-23,Premium,Fashion,False,True
C000049,CUST000049,Gaurangi,Khatri,Gaurangi Khatri,Female,1977-04-23,49,45-54,gaurangi.khatri840@gmail.com,7974034471,Patna,Bihar,East,800001,2023-11-13,Premium,Fashion,False,False
C000050,CUST000050,Jackson,Lalla,Jackson Lalla,Male,2008-01-06,18,18-24,jackson.lalla695@gmail.com,3242102499,Chandigarh,Chandigarh,North,160017,2023-02-20,New,Home & Kitchen,False,True
C000051,CUST000051,Maanas,Sarna,Maanas Sarna,Male,1973-12-10,52,45-54,maanas.sarna491@gmail.com,8877190659,Surat,Gujarat,West,395003,2023-11-23,Regular,Electronics,False,True
C000052,CUST000052,Jeremiah,Bal,Jeremiah Bal,Male,1971-09-11,54,45-54,jeremiah.bal34@gmail.com,4902787429,Mumbai,Maharashtra,West,400001,2025-07-31,Regular,Books,False,True
C000053,CUST000053,Tejas,Swamy,Tejas Swamy,Male,1971-09-09,54,45-54,tejas.swamy666@gmail.com,5125674680,Gurugram,Haryana,North,122001,2024-11-03,New,Electronics,False,True
C000054,CUST000054,Vasana,Chakrabarti,Vasana Chakrabarti,Female,1986-11-19,39,35-44,vasana.chakrabarti192@gmail.com,8087603859,Cuttack,Odisha,East,753001,2026-01-03,Regular,Electronics,True,False
C000055,CUST000055,Yahvi,Sathe,Yahvi Sathe,Female,1968-12-28,57,55+,yahvi.sathe630@gmail.com,4771093248,Mangaluru,Karnataka,South,575001,2023-08-11,Regular,Home & Kitchen,False,True
C000056,CUST000056,Abhimanyu,Reddy,Abhimanyu Reddy,Male,1971-10-28,54,45-54,abhimanyu.reddy957@gmail.com,2748467737,Noida,Uttar Pradesh,North,201301,2026-03-26,New,Electronics,False,True
C000057,CUST000057,Elijah,Rajagopal,Elijah Rajagopal,Male,1978-06-14,48,45-54,elijah.rajagopal689@gmail.com,5840449972,Delhi,Delhi,North,110001,2025-06-02,New,Sports,False,True
C000058,CUST000058,Udant,Yohannan,Udant Yohannan,Male,1998-06-10,28,25-34,udant.yohannan312@gmail.com,6753396360,Bilaspur,Chhattisgarh,Central,495001,2024-09-07,Regular,Sports,False,True
C000059,CUST000059,Nathan,Solanki,Nathan Solanki,Male,1991-06-04,35,35-44,nathan.solanki640@gmail.com,2895171870,Mumbai,Maharashtra,West,400001,2025-05-11,Regular,Grocery,False,True
C000060,CUST000060,Eshana,Rout,Eshana Rout,Female,1975-12-26,50,45-54,eshana.rout603@gmail.com,9615865780,Gurugram,Haryana,North,122001,2026-01-27,Regular,Home & Kitchen,True,True
C000061,CUST000061,Bhavya,Keer,Bhavya Keer,Female,2008-06-06,18,18-24,bhavya.keer992@gmail.com,1172400504,Lucknow,Uttar Pradesh,North,226001,2025-06-23,Regular,Fashion,False,True
C000062,CUST000062,Praneel,Prasad,Praneel Prasad,Male,1994-10-15,31,25-34,praneel.prasad848@gmail.com,9222196937,Bhubaneswar,Odisha,East,751001,2023-06-23,New,Sports,False,True
C000063,CUST000063,Ekbal,Kata,Ekbal Kata,Male,1996-11-10,29,25-34,ekbal.kata496@gmail.com,7482175946,Cuttack,Odisha,East,753001,2024-09-27,New,Fashion,True,True
C000064,CUST000064,Jeremiah,Shan,Jeremiah Shan,Male,1986-01-15,40,35-44,jeremiah.shan516@gmail.com,3695944064,Lucknow,Uttar Pradesh,North,226001,2025-04-28,Premium,Beauty,True,True
C000065,CUST000065,Aarna,Bawa,Aarna Bawa,Female,2006-09-30,19,18-24,aarna.bawa916@gmail.com,5339421047,Nashik,Maharashtra,West,422001,2023-10-30,Regular,Electronics,False,True
C000066,CUST000066,Anay,Patla,Anay Patla,Male,1974-06-04,52,45-54,anay.patla265@gmail.com,2328588424,Jaipur,Rajasthan,North,302001,2024-03-24,New,Sports,False,True
C000067,CUST000067,Wridesh,Merchant,Wridesh Merchant,Male,1988-07-12,37,35-44,wridesh.merchant334@gmail.com,3685160481,Lucknow,Uttar Pradesh,North,226001,2023-10-01,Regular,Sports,False,True
C000068,CUST000068,Vasana,Pillay,Vasana Pillay,Female,1983-04-28,43,35-44,vasana.pillay892@gmail.com,7098593174,Patna,Bihar,East,800001,2025-10-30,Regular,Beauty,False,True
C000069,CUST000069,Tara,Dada,Tara Dada,Female,1974-12-29,51,45-54,tara.dada543@gmail.com,1138267586,Jodhpur,Rajasthan,North,342001,2024-06-14,Regular,Books,False,True
C000070,CUST000070,Garima,Sachdeva,Garima Sachdeva,Female,1972-03-21,54,45-54,garima.sachdeva353@gmail.com,0537735158,Ranchi,Jharkhand,East,834001,2024-05-04,New,Electronics,False,True
C000071,CUST000071,Rachita,Bhat,Rachita Bhat,Female,1992-07-28,33,25-34,rachita.bhat229@gmail.com,1390053293,Ludhiana,Punjab,North,141001,2023-06-15,New,Fashion,False,True
C000072,CUST000072,Bakhshi,Johal,Bakhshi Johal,Male,2005-05-20,21,18-24,bakhshi.johal440@gmail.com,9042284210,Chandigarh,Chandigarh,North,160017,2025-04-14,Regular,Grocery,False,True
C000073,CUST000073,Ekaja,Aurora,Ekaja Aurora,Female,1989-11-10,36,35-44,ekaja.aurora975@gmail.com,2402681177,Siliguri,West Bengal,East,734001,2023-02-10,Premium,Books,False,True
C000074,CUST000074,Radhika,Varghese,Radhika Varghese,Female,2005-11-17,20,18-24,radhika.varghese569@gmail.com,9084700766,Rajkot,Gujarat,West,360001,2025-03-09,Premium,Books,False,True
C000075,CUST000075,Chatura,Swaminathan,Chatura Swaminathan,Male,1995-08-31,30,25-34,chatura.swaminathan705@gmail.com,2124998569,Agra,Uttar Pradesh,North,282001,2024-03-25,New,Grocery,True,True
C000076,CUST000076,Zilmil,Menon,Zilmil Menon,Female,1996-05-10,30,25-34,zilmil.menon938@gmail.com,3673657661,Bilaspur,Chhattisgarh,Central,495001,2023-12-05,Regular,Fashion,False,True
C000077,CUST000077,Nirja,Sane,Nirja Sane,Female,1986-09-30,39,35-44,nirja.sane482@gmail.com,1111615280,Siliguri,West Bengal,East,734001,2026-03-01,Regular,Electronics,False,True
C000078,CUST000078,Nitesh,Das,Nitesh Das,Male,1993-06-08,33,25-34,nitesh.das910@gmail.com,9451983273,Hubballi,Karnataka,South,580020,2024-06-16,Regular,Fashion,False,True
C000079,CUST000079,Darika,Palla,Darika Palla,Female,2003-05-03,23,18-24,darika.palla63@gmail.com,3689980940,Surat,Gujarat,West,395003,2025-05-13,New,Electronics,False,True
C000080,CUST000080,Hemangini,Mahajan,Hemangini Mahajan,Female,1986-07-04,39,35-44,hemangini.mahajan263@gmail.com,2961201836,Nagpur,Maharashtra,West,440001,2023-05-21,Regular,Sports,True,True
C000081,CUST000081,Shaurya,Setty,Shaurya Setty,Male,1988-09-05,37,35-44,shaurya.setty233@gmail.com,9910229014,Mysuru,Karnataka,South,570001,2023-11-09,New,Grocery,False,True
C000082,CUST000082,Vaishnavi,Samra,Vaishnavi Samra,Female,1998-07-13,27,25-34,vaishnavi.samra745@gmail.com,8156149784,Guwahati,Assam,East,781001,2024-06-08,Regular,Fashion,False,False
C000083,CUST000083,Arin,Kannan,Arin Kannan,Male,1992-05-18,34,25-34,arin.kannan939@gmail.com,3244510762,Kochi,Kerala,South,682001,2024-09-29,New,Electronics,False,True
C000084,CUST000084,Eiravati,Rai,Eiravati Rai,Female,2001-09-21,24,18-24,eiravati.rai723@gmail.com,1606071596,Gurugram,Haryana,North,122001,2024-02-11,New,Sports,False,True
C000085,CUST000085,Tanmayi,Sahni,Tanmayi Sahni,Female,1985-03-07,41,35-44,tanmayi.sahni365@gmail.com,2975161369,Cuttack,Odisha,East,753001,2026-05-14,Regular,Books,False,True
C000086,CUST000086,Suhani,Viswanathan,Suhani Viswanathan,Female,1970-10-31,55,55+,suhani.viswanathan852@gmail.com,5218188355,Bhubaneswar,Odisha,East,751001,2025-01-28,New,Sports,True,True
C000087,CUST000087,Falak,Keer,Falak Keer,Female,1972-06-23,54,45-54,falak.keer166@gmail.com,9212779979,Coimbatore,Tamil Nadu,South,641001,2025-06-06,Premium,Sports,False,True
C000088,CUST000088,Ojasvi,Mutti,Ojasvi Mutti,Female,1975-10-03,50,45-54,ojasvi.mutti803@gmail.com,4490581477,Thiruvananthapuram,Kerala,South,695001,2025-12-04,Premium,Home & Kitchen,False,True
C000089,CUST000089,Anjali,Bhandari,Anjali Bhandari,Female,1990-07-29,35,35-44,anjali.bhandari860@gmail.com,9867980793,Lucknow,Uttar Pradesh,North,226001,2025-06-11,Regular,Beauty,True,True
C000090,CUST000090,Naveen,Soni,Naveen Soni,Male,1999-08-07,26,25-34,naveen.soni354@gmail.com,5182037788,Surat,Gujarat,West,395003,2025-07-12,New,Grocery,False,True
C000091,CUST000091,Fariq,Patla,Fariq Patla,Male,1990-11-08,35,35-44,fariq.patla296@gmail.com,9051518644,Agra,Uttar Pradesh,North,282001,2024-10-27,New,Fashion,False,True
C000092,CUST000092,Falguni,Nath,Falguni Nath,Female,1971-01-10,55,55+,falguni.nath510@gmail.com,2914865281,Kolkata,West Bengal,East,700001,2023-01-21,Regular,Fashion,True,True
C000093,CUST000093,Siddharth,Trivedi,Siddharth Trivedi,Male,1990-02-07,36,35-44,siddharth.trivedi311@gmail.com,3573322141,Guwahati,Assam,East,781001,2025-09-02,Regular,Grocery,False,True
C000094,CUST000094,Zehaan,Zacharia,Zehaan Zacharia,Male,2001-04-24,25,25-34,zehaan.zacharia362@gmail.com,9622292706,Gurugram,Haryana,North,122001,2024-05-13,Regular,Beauty,False,True
C000095,CUST000095,Rajata,Khanna,Rajata Khanna,Female,1995-09-16,30,25-34,rajata.khanna246@gmail.com,3473597746,Jabalpur,Madhya Pradesh,Central,482001,2026-02-01,Regular,Sports,False,True
C000096,CUST000096,Zayan,Wable,Zayan Wable,Male,1993-12-20,32,25-34,zayan.wable199@gmail.com,4075818141,Bilaspur,Chhattisgarh,Central,495001,2024-01-30,Regular,Sports,False,True
C000097,CUST000097,Faris,Mahajan,Faris Mahajan,Male,1996-01-21,30,25-34,faris.mahajan299@gmail.com,7506068536,Pune,Maharashtra,West,411001,2025-09-18,New,Beauty,False,True
C000098,CUST000098,Banjeet,Prasad,Banjeet Prasad,Male,1980-10-04,45,45-54,banjeet.prasad139@gmail.com,2204727790,Mumbai,Maharashtra,West,400001,2024-08-29,New,Fashion,True,True
C000099,CUST000099,Chaaya,Bahl,Chaaya Bahl,Female,1982-11-24,43,35-44,chaaya.bahl780@gmail.com,8614341036,Mangaluru,Karnataka,South,575001,2023-04-22,Regular,Sports,False,True
C000100,CUST000100,Vasudha,Bhatnagar,Vasudha Bhatnagar,Female,1973-01-09,53,45-54,vasudha.bhatnagar998@gmail.com,8932460953,Coimbatore,Tamil Nadu,South,641001,2023-01-26,Regular,Grocery,False,True
C000101,CUST000101,Sathvik,Grover,Sathvik Grover,Male,1971-04-22,55,55+,sathvik.grover654@gmail.com,8880670654,Ahmedabad,Gujarat,West,380001,2025-09-05,New,Electronics,False,True
C000102,CUST000102,Abhiram,Parikh,Abhiram Parikh,Male,1970-01-29,56,55+,abhiram.parikh581@gmail.com,5205852772,Warangal,Telangana,South,506002,2023-11-02,Regular,Home & Kitchen,True,True
C000103,CUST000103,Ekanta,Bhatnagar,Ekanta Bhatnagar,Female,1996-08-16,29,25-34,ekanta.bhatnagar940@gmail.com,3054868740,Asansol,West Bengal,East,713301,2026-05-05,Regular,Fashion,False,True
C000104,CUST000104,Ikshita,Mangal,Ikshita Mangal,Female,1989-10-09,36,35-44,ikshita.mangal993@gmail.com,5667652775,Rajkot,Gujarat,West,360001,2026-04-20,Premium,Home & Kitchen,False,True
C000105,CUST000105,Kiaan,Butala,Kiaan Butala,Male,1994-05-14,32,25-34,kiaan.butala187@gmail.com,8451154479,Gwalior,Madhya Pradesh,Central,474001,2024-03-01,Regular,Home & Kitchen,False,True
C000106,CUST000106,Tanay,Ganesan,Tanay Ganesan,Male,1995-09-09,30,25-34,tanay.ganesan247@gmail.com,9640165820,Kochi,Kerala,South,682001,2023-01-06,Regular,Sports,False,True
C000107,CUST000107,Eshana,Sarma,Eshana Sarma,Female,1967-11-06,58,55+,eshana.sarma280@gmail.com,5690927557,Raipur,Chhattisgarh,Central,492001,2024-08-02,Regular,Grocery,True,True
C000108,CUST000108,Balvan,Devan,Balvan Devan,Male,2001-07-05,24,18-24,balvan.devan155@gmail.com,3102786814,Jaipur,Rajasthan,North,302001,2023-08-24,Regular,Sports,True,True
C000109,CUST000109,Kalpit,Sehgal,Kalpit Sehgal,Male,1980-01-31,46,45-54,kalpit.sehgal305@gmail.com,2172715518,Hubballi,Karnataka,South,580020,2023-12-06,Regular,Beauty,False,True
C000110,CUST000110,Mohini,Mital,Mohini Mital,Female,1976-03-13,50,45-54,mohini.mital562@gmail.com,1323705895,Madurai,Tamil Nadu,South,625001,2025-08-17,Regular,Sports,False,True
C000111,CUST000111,Vinaya,Dayal,Vinaya Dayal,Female,2007-02-15,19,18-24,vinaya.dayal36@gmail.com,7866912517,Jodhpur,Rajasthan,North,342001,2023-06-14,Regular,Grocery,False,True
C000112,CUST000112,Viraj,Varughese,Viraj Varughese,Male,1988-12-03,37,35-44,viraj.varughese285@gmail.com,2680182422,Nagpur,Maharashtra,West,440001,2026-03-24,Regular,Electronics,False,True
C000113,CUST000113,Neel,Kar,Neel Kar,Male,1989-01-10,37,35-44,neel.kar609@gmail.com,8424981829,Gwalior,Madhya Pradesh,Central,474001,2023-12-25,Regular,Sports,False,True
C000114,CUST000114,Ganga,Garg,Ganga Garg,Female,2007-12-23,18,18-24,ganga.garg696@gmail.com,1094396907,Ranchi,Jharkhand,East,834001,2025-10-04,Premium,Grocery,True,True
C000115,CUST000115,Maanav,Mittal,Maanav Mittal,Male,1998-05-06,28,25-34,maanav.mittal843@gmail.com,1027677359,Kochi,Kerala,South,682001,2024-11-06,Regular,Grocery,True,False
C000116,CUST000116,Ekbal,Munshi,Ekbal Munshi,Male,1987-03-18,39,35-44,ekbal.munshi895@gmail.com,8815371473,Lucknow,Uttar Pradesh,North,226001,2023-06-30,Regular,Home & Kitchen,True,True
C000117,CUST000117,Ekavir,Chatterjee,Ekavir Chatterjee,Male,1968-12-03,57,55+,ekavir.chatterjee784@gmail.com,3259532787,Bhubaneswar,Odisha,East,751001,2026-01-16,Regular,Electronics,True,True
C000118,CUST000118,Yahvi,Morar,Yahvi Morar,Female,1999-04-30,27,25-34,yahvi.morar304@gmail.com,7339500479,Ranchi,Jharkhand,East,834001,2025-06-24,Regular,Fashion,True,True
C000119,CUST000119,Vrinda,Mangal,Vrinda Mangal,Female,2002-01-01,24,18-24,vrinda.mangal172@gmail.com,4565060983,Guwahati,Assam,East,781001,2025-09-19,New,Sports,False,True
C000120,CUST000120,Radhika,Mani,Radhika Mani,Female,1970-06-26,55,55+,radhika.mani126@gmail.com,4991216558,Kolkata,West Bengal,East,700001,2023-01-29,Regular,Electronics,True,True
C000121,CUST000121,Rajeshri,Dhawan,Rajeshri Dhawan,Female,1979-01-10,47,45-54,rajeshri.dhawan435@gmail.com,0257872982,Madurai,Tamil Nadu,South,625001,2023-11-12,Regular,Sports,True,True
C000122,CUST000122,Omisha,Nagar,Omisha Nagar,Female,1976-07-16,49,45-54,omisha.nagar530@gmail.com,5888794705,Kanpur,Uttar Pradesh,North,208001,2024-05-14,Regular,Fashion,False,False
C000123,CUST000123,Noah,Choudhary,Noah Choudhary,Male,1993-10-29,32,25-34,noah.choudhary529@gmail.com,4993097289,Belagavi,Karnataka,South,590001,2024-07-19,Regular,Books,False,False
C000124,CUST000124,Sachi,Divan,Sachi Divan,Female,1981-12-17,44,35-44,sachi.divan511@gmail.com,0756263689,Bengaluru,Karnataka,South,560001,2024-08-02,Regular,Books,False,False
C000125,CUST000125,Warinder,Bhatia,Warinder Bhatia,Male,1974-11-17,51,45-54,warinder.bhatia476@gmail.com,8652785854,Jodhpur,Rajasthan,North,342001,2026-01-08,Regular,Home & Kitchen,False,True
C000126,CUST000126,Warhi,Handa,Warhi Handa,Female,1982-04-04,44,35-44,warhi.handa335@gmail.com,4437575844,Mumbai,Maharashtra,West,400001,2024-05-04,Regular,Fashion,False,True
C000127,CUST000127,Divya,Raghavan,Divya Raghavan,Female,1992-04-30,34,25-34,divya.raghavan165@gmail.com,4157473384,Raipur,Chhattisgarh,Central,492001,2025-02-19,Regular,Sports,False,True
C000128,CUST000128,Madhavi,Devan,Madhavi Devan,Female,1972-11-29,53,45-54,madhavi.devan875@gmail.com,3301657120,Mangaluru,Karnataka,South,575001,2023-09-16,Regular,Beauty,True,True
C000129,CUST000129,Gaurangi,Ray,Gaurangi Ray,Female,1997-11-07,28,25-34,gaurangi.ray680@gmail.com,4019380262,Coimbatore,Tamil Nadu,South,641001,2025-12-13,Premium,Electronics,False,True
C000130,CUST000130,Andrew,Ranganathan,Andrew Ranganathan,Male,1999-03-11,27,25-34,andrew.ranganathan675@gmail.com,4991547887,Belagavi,Karnataka,South,590001,2025-08-19,Regular,Home & Kitchen,True,True
C000131,CUST000131,Ekalinga,Thaman,Ekalinga Thaman,Male,1997-04-30,29,25-34,ekalinga.thaman509@gmail.com,2742054932,Bhopal,Madhya Pradesh,West,462001,2025-12-28,Regular,Home & Kitchen,False,True
C000132,CUST000132,Samaksh,Sane,Samaksh Sane,Male,2000-07-18,25,25-34,samaksh.sane774@gmail.com,2275304637,Patna,Bihar,East,800001,2023-05-21,New,Sports,False,False
C000133,CUST000133,Kiaan,Narayan,Kiaan Narayan,Male,1986-01-10,40,35-44,kiaan.narayan720@gmail.com,0174268414,Jaipur,Rajasthan,North,302001,2023-07-21,Regular,Sports,False,True
